Date,finbert_composite,Cleaned News
2023-09-18,-0.4922,commercial banks ashwin unveil interest rate adjustments pcbl tops fd rates scb cuts amidst stability
2023-09-11,-0.1166,commercial banks pricey pockets see latest pe ratio class banks
2023-08-08,0.06775,comparative analysis unraveling financial indicators among commercial banks
2023-08-07,0.1225,ashad 2080 snapshot nepals commercial banks display diverse base spread rates rbb leads lowest base rate
2023-08-06,0.9243,standard chartered bank unveils q4 report overall improvements across financial indicators net profits rs 352 arba
2023-08-04,0.1658,standard chartered bank nepal donates rs 50 lakh shequal foundation upskill young women nepal
2023-07-26,0.05966,standard chartered bank funds eyecare projects worth rs 1 crore partners tilganga institute ophthalmology mitra samaj extending eye health care services
2023-07-16,-0.1136,commercial banks revise interest rates shrawan interest rate cartelisation ends
2023-07-05,-0.004154,1030 standard chartered bank nepal debenture 1075 nmb debenture 208990 listed nepse
2023-06-27,0.0729,standard chartered bank reopens crèche daycare facility children employees
2023-06-15,-0.6807,commercial banks update interest rates month ashad scb reduces fixed deposit rates
2023-06-09,0.03757,metlife nepal standard chartered bank nepal jointly inaugurate digital standing instructions premium payments collection
2023-06-06,0.0377,standard chartered bank partners contour conduct blockchain knowledge sharing session nepal rastra bank
2023-04-30,0.02168,cbfin determined use legal authority protection right depositors borrowers stakeholders bfis
2023-04-27,0.01219,evolution nonperforming loans npl nepal addressing current situation growing npl
2023-04-20,-0.3442,comparative analysis third quarter reports 21 commercial banks industry accumulates average profit 232 arba q3
2023-04-20,0.7363,core business revenue standard chartered bank rises impressive 7836 rs 440 arba q3
2023-04-17,-0.3523,pm prachanda directs halt tax public offering fpo
2023-03-23,-0.353,commercial banks approaching 52weeks low price mean investors bfidominated market
2023-03-10,0.8413,icra nepal reaffirms icranpir aaa issuer rating standard chartered bank nepal indicating highest degree safety regarding timely servicing financial obligations
2023-02-20,-0.004635,standard chartered bank nepals 1030 standard chartered bank nepal limited debenture close today minimum applications placed 25 units
2023-02-13,-0.02641,deadline extended 1030 standard chartered bank nepal limited debenture issue close falgun 08
2023-02-09,0.01686,standard chartered bank nepal opening issue 1030 standard chartered bank nepal limited debenture today
2023-02-01,0.0587,standard chartered bank nepal issue 1030 standard chartered bank nepal limited debenture 26th magh
2023-01-27,0.001269,interest amount rs 1333 arba yet received commercial banks second quarter comprehensive analysis major indicators 22 commercial banks
2023-01-12,-0.7,committee nepal bankers association decided decrease fixed deposits interest rates month magh
2023-01-10,0.896,stock market trend analysis sector gained highest last 100 days
2022-12-18,0.2361,sebon approves 1030 standard chartered bank nepal rinpatra bank issue 24 lakh unit debentures soon
2022-12-13,-0.01843,commercial banks decides maintain deposit interest rate month poush well
2022-11-28,-0.8228,due higher spread rates nic asia bank affected first quarter monetary policy status bfis
2022-11-22,0.02274,reminder last day grab dividend standard chartered bank nepal
2022-11-18,-0.04095,standard chartered bank nepal unveils book closure date 1651 cash dividend calls agm 25th mangsir
2022-11-15,0.0003102,interest rates commercial banks remain unchanged month mangsir
2022-10-31,0.1819,profitability figures commercial banks painted greener picture first quarter summarized snapshot important fundamentals 26 banks individually
2022-10-31,0.04147,standard chartered bank proposes cash dividend 1651 financial year 207879
2022-10-19,0.593,base rate banks increased recent month check current base rates 26 commercial banks nepal
2022-10-17,-0.01373,interest rates banks financial institutions remains unchanged kartik
2022-10-13,0.11816,committee nepal bankers association determined raising kartiks interest rates reasonable
2022-09-23,-0.05432,prisoners dilemma present context increment interest rates financial institutions
2022-09-21,-0.0009127,banks alter interest rates individuals deposit interest rates increased 3 digits decimal point
2022-08-23,-0.9165,future hold atms nepal country quickly transitions cashless economy
2022-08-07,0.2089,amid liquidity crunch low credit expansion commercial banks reports satisfactory profit growth fy 7879 summarised snapshot important fundamentals
2022-08-03,0.03293,nrb amended added various facilities b c category banks financial institutions list major highlights nrb circular
2022-07-27,0.526,standard chartered bank earns rs 226 arba q4 impressive growth 6227 eps stands rs 2407
2022-07-15,0.02415,9 standard chartered bank nepal ltd debenture added sebons pipeline
2022-06-12,0.2028,commercial banks agreed raise interest rates deposits
2022-06-12,0.03714,commercial banks profit rs 58 arba till baishakh fiscal year 3 development banks 2 finance companies loss
2022-06-07,-0.9517,comparative analysis commercial banks much pe ratio declined since alltime high
2022-06-06,-0.9683,commercial banks overall market capitalization dropped 32 since time high
2022-06-01,0.01582,52week highlow analysis best time buy shares
2022-05-03,0.0229,commercial banks maintain minimum car core capital tieri prescribed nepal rastra bank
2022-05-01,-0.04614,detailed summary dividends distributed sectors listed nepse fy7778 exact dividend figures
2022-04-26,-0.1016,commercial banks see decrement total deposit rs 10b lending rs 1b second week baisakh
2022-04-24,-0.529,thriving liquidity crisis nepal quick look third quarter performance commercial banks
2022-04-21,0.001589,total deposit commercial banks rs 4377b first week baisakh lending rs 4195b
2022-04-21,-0.04575,latest base rate creditdeposit ratio credit adequacy ratio commercial banks impact market
2022-04-20,0.921,standard chartered bank limited reports impressive growth major indicators q3
2022-04-19,0.004017,8months fy highest credit commercial banks went wholesale retail
2022-04-18,0.03943,commercial banks profit rs 46 arba till falgun fy 3 development banks 2 finance companies loss
2022-04-12,0.007477,deposit collection rs 3 billion fourth week chaitra lending rs 2 billion
2022-04-11,-0.0365,commercial banks keep interest rates unchanged baisakh lc prohibited nonessential import
2022-04-06,-0.8315,deposit collection chokes chaitras third week lending rs 5b
2022-04-05,-0.8457,nonessential imports prohibited ease liquidity crunch banks constrict credit flow
2022-03-28,0.898,total deposit lending commercial banks rise rs 2b second week chaitra
2022-03-18,0.794,hopeful growth deposit last week falgun lending also rises
2022-03-14,0.911,deposit rose minimally fourth week falgun lending rs 1b
2022-03-14,0.0638,commercial banks forwarded rs 1184 arba loan magh went wholesale retail
2022-03-14,0.0133,commercial banks profit rs 4024 arba first seven months fy 3 development banks 2 finance companies loss
2022-03-14,-0.03235,banks keep interest rates unchanged chaitra finance companies raise
2022-03-09,0.2385,weekly deposit figure sees noticeable increment long lending also sees modest gain
2022-02-28,0.9224,deposit collection rose rs 1b second week falgun lending rs 6b
2022-02-24,-0.09186,central bank imposes risk weight share loan various loans regulation tightened promoters buy promoter shares bfis
2022-02-21,0.9243,deposit collection rose rs 1b first week falgun lending rs 4b
2022-02-17,0.03336,10 bonus shares standard chartered bank scb finally listed nepse
2022-02-16,0.00586,deposit collection choked fourth week magh lending rs 6b
2022-02-13,-0.5127,banks financial institutions raise interest rates falgun
2022-02-07,0.663,commercial banks report higher deposit collection lending third week magh
2022-02-03,-0.2568,relation antimoney laundering antiterrorism efforts central bank tightens surveillance monetary transactions
2022-01-26,0.009,commercial bank perform q2 detailed analysis major fundamental indicators
2022-01-26,0.1157,lending comes almost halt magh deposit rs 17 billion
2022-01-21,0.03223,use ratio arsenal analyzing banks
2022-01-19,0.091,commercial banks profitable first 5 months fy development banks report total net profit rs 243 arba
2022-01-17,0.915,deposit collection rose rs 17 b last week poush lending rose twice much
2022-01-14,0.2615,commercial banks keep interest rate stable magh development banks finance companies raise slightly
2022-01-10,0.0629,banks financial institutions instructed follow stricter protocols amidst risk new covid19 wave
2022-01-10,0.6455,deposit collection spikes fourth week poush lending fairly stable
2022-01-04,-0.002682,total deposit rs 14b third week poush lending rs 11b cd ratio 9102
2021-12-27,0.001456,total deposit rs 4 billion lending rs 3 billion second week poush
2021-12-15,0.1321,commercial banks keep interest rates stable happened means
2021-12-14,0.2458,total deposits went rs 5 billion third week mangsir lending went rs 8 billion
2021-12-06,0.1938,rise deposit collection third week mangsir accompanied twice much lending
2021-11-30,-0.937,weekly deposit shrinks rs 7 billion commercial banks lending expands twice much
2021-11-25,-0.1691,reminder last day grab dividend three companies
2021-11-22,-0.0325,rs 7 billion less deposit first week mangsir rs 7 billion lending
2021-11-19,-0.09595,economy battles liquidity crisis deposit squeezed 3531 arba kartik lending stretched 3612 arba
2021-11-19,-0.002785,standard chartered bank limited scb calls agm mangsir 28 1306 dividend endorsed fy 207778
2021-11-17,-0.001532,new working committee nepal bankers association hold meeting governor give suggestions monetary policy review
2021-11-16,0.02194,commercial banks provide upto 1005 fixed deposits rates finance companies development banks also capped slightly higher
2021-11-15,0.04672,issues nrs 19 crores worth banking credit fraud
2021-11-14,-0.359,nation facing liquidity crisis central bank wants keep interest rate hike check additional restrictions
2021-11-14,-0.64,banks see even fewer deposits fourth week kartik lending figure sees uptick
2021-11-11,-0.4214,commercial banks see decrement total deposit third week kartik increment lending
2021-11-08,-0.7114,decline interest income higher loan imbursement higher net profit deep dive performance commercial banks first quarter
2021-11-01,0.03958,profitability figures commercial banks painted greener picture first quarter banks report net rise profit tabular comparison 27 banks
2021-10-21,-0.07855,banks revise interest rates nrb circular changed
2021-10-20,0.07697,nepal rastra bank slams hike interest rate addition unified directive bfis forced bring interest rates today
2021-10-18,-0.002487,banks raise interest rates kartik heres updated interest profile every bank compared previous months rates
2021-10-11,0.1681,central bank unveils new guidelines make banking system transparent customerfriendly limit margin loans unaltered
2021-10-06,0.003307,standard chartered bank nepal limited scb proposes 1306 dividend fy 207778
2021-09-16,-0.001309,commercial banks raise interest rates heres updated interest profile every bank compared previous months rates
2021-08-19,0.8267,detailed dive vital fundamental figures commercial banks publish satisfactory q4 report given unique pandemicinduced challenges
2021-08-16,-0.0694,banks update interest rates bhadra changed
2021-07-07,-0.862,bankers kawaswoti go strike unilateral decision enforce social security fund
2021-06-18,0.0296,pay online get 15 3 banks join darazs bank days offer
2021-06-14,0.04947,banks raise interest rates ashad
2021-05-24,0.03326,standard chartered partners nchl connectips npi take scbn onboard interbank transfers
2021-05-14,-0.8667,commercial banks update interest rates liquidty scenario second wave worse first
2021-05-02,0.738,commercial banks performed better expected third quarter summarized snapshot important fundamentals
2021-04-28,0.915,q3 commercial banks bagged rs 5074 arba total net profit distributable profit surged massive 1951 average
2021-03-14,-0.01846,commercial banks raise interest rates long responsible nepses decline
2021-03-12,-0.037,commercial banks update interest rates changed
2021-02-26,0.5693,last 8 months bullish ride would investing banks give better returns nepses gain data tell us
2021-02-25,0.02936,bonus shares four companies listed nepse
2021-02-05,0.2301,exactly commercial banks perform second quarter quick comparison important metrics
2021-01-31,-0.003103,commercial banks profitability second quarter comparison
2021-01-28,-0.9624,standard chartered bank reported decline business volume core business revenue q2 npl incresed 154
2021-01-13,-0.4963,interest rates keep sliding means nepse
2020-12-23,0.01242,dont forget last day grab 1184 dividend standard chartered bank scb
2020-12-17,-0.02718,standard chartered bank scb calls agm poush 24 whens book closure 1184 dividend
2020-12-16,-0.414,banks update interest rates base rates falling affect stock market
2020-12-09,0.03009,confusion using valuation ratios financial institutions heres connect dots ratios investment decision
2020-12-03,0.619,standard chartered bank rated triplea aaa second year row
2020-11-20,-0.8643,first quarter glimpse heres commercial banks faced survived pandemic
2020-11-13,-0.938,standard chartered reports decline major indicators q1 net worth per share declined rs 19413
2020-10-30,0.01859,standard chartered bank scb proposes 1184 dividend fy 207677 much bonus shares cash
2020-10-16,-0.07947,bfis update interest rates kartik change affect nepse
2020-08-26,0.544,efficient commercial banks utilizing assets equity bank provide highest return
2020-08-26,-0.06836,base rate interest spread cost funds commercial banks q4 fy 207677 know bank offer loan low interest rate
2020-08-23,-0.202,bank kathmandu reduces deposit interest rates standard chartered bank discourages longterm fixed deposits
2020-08-16,-0.555,commercial banks compromised profit set side huge amount loan provisions find commercial banks performance year
2020-08-14,-0.9487,low feebased trading income high impairment charge leads 1851 decline net profit standard chartered bank nepal
2020-07-24,-0.02394,9 bfis including standard chartered kumari bank everest bank revised interest rates modest decline deposit loan products
2020-07-09,-0.9526,falling base rate commercial banks means investors
2020-05-14,0.7876,coronavirus pandemic impacts profit commercial banks industry net profit commercial banks increases rs 4 arba compared last year loan payment rescheduling impacts distributable profit commercial banks
2020-03-13,0.04196,latest average base rate commercial banks stand 947 look important interest rates
2020-03-10,-0.0871,yes bank india crisis lesson nepalese investors banking industry
2020-02-24,0.01587,market takes upward stride pe ratio listed companies stand find latest pe ratio sectors companies
2020-02-14,0.002993,exclusive comparative analysis second quarter reports commercial banks industry accumulates average profit 122 arba second quarter
2020-02-11,-0.843,standard chartered bank earns rs 122 arba q2 712 growth base rate stands low 733 npl stands 017
2020-01-26,0.004425,current average base rate commercial banks look minimum maximum interest rate charged margin type loan
2020-01-14,-0.6567,recent uptrend affected performance companies adjusted dividend recover dividend amount
2019-12-20,0.7744,dividend yield company nepal lube oil limited reports highest dividend yield market
2019-12-02,-0.02115,relevant annualizing eps based first quarter reports commercial banks analysis expected actual eps deviation
2019-11-24,0.06128,last day grab shares standard chartered bank eligile 2250 cash dividend agm mangsir 23
2019-11-19,0.04364,comparative analysis commercial banks come first quarter report new fiscal year planning change investment decision
2019-11-17,-0.9517,standard chartered reports 264 fall loans advances net profit till q1 207677 rs 6441 crore
2019-11-15,0.00256,standard chartered bank convene 33rd agm mangsir 23 2076 book closure mangsir 9 2076
2019-10-25,0.8755,18 commercial banks report call deposits higher 10 total deposits average ratio stands 123
2019-10-21,-0.01214,standard chartered bank proposes 225 cash dividend profit fy 207576
2019-09-22,0.1426,icra nepal assigns aaa rating standard chartered bank rating indicates lowest credit risk
2019-09-11,0.005943,b c class banks floated rs 4541 arba margin loan 207576 26 commercial banks floating total rs 3557 arba see list
2019-08-27,0.544,efficient commercial banks utilizing assets equity bank provide highest return
2019-08-26,-0.4607,base rate interest spread rate cost funds commercial banks q4 fy 207576 banks lower base rate enjoying higher spread rate
2019-08-19,0.01128,commercial banks fare major indicators last quarter 207576 find details
2019-08-14,-0.834,standard chartered bank earns rs 249 arba q4 1395 growth base rate stands low 763 capital adequacy 1990
2019-08-02,0.01595,new monetary policy requires commercial banks issue minimum 25 paid capital debentures look amount debentures investors expect bank
2019-07-24,0.8794,aggressive debenture issue giving opportunity increase business diminishing dividend distribution capacity bank
2019-07-17,-0.00847,sector wise dividend distribution fiscal year 207475 companies distributed bonus share pay cash dividend tax bonus share
2019-07-16,-0.01605,complete overview standard chartered bank
2019-07-04,0.258,underpriced overpriced commercial banks nepse according camels rating rbb nabil bank among top
2019-06-16,0.9287,commercial banks performed past 5 years see growth major indicators
2019-05-24,-0.0673,nepal rastra bank instruct banks limit call deposits 10 total 14 banks crosses 10 limit till falgun end
2019-05-14,0.04285,baisakhs rise nepse outstanding performance commercial banks investment decision comparing performance basis q3 reports commercial banks
2019-05-07,0.01154,excited know q3 financials standard chartered bank also know much dividend scb distribute next year
2019-04-10,0.2998,6 commercials banks behind agm schedule see bank distributed highest dividend
2019-04-09,0.0135,nrb publishes sector wise break loans advances commercial banks sector maximum credit concentration
2019-04-03,0.04858,current interest rates offered commercial banks deposit loan products check changing bankers add value operations
2019-03-03,-0.828,status commercial banks still risky brief picture funding non funding income
2019-02-18,-0.779,commercial banks personnel expenses comparative impact total operating income banks government stake seem inefficient utilizing personnel expenses
2019-02-15,0.09033,correlation commercial banks nepse index implication investment decision
2019-02-12,0.0951,standard chartered bank earns rs 114 arba q2 eps remains rs 2859 npl 020
2019-01-30,-0.01903,minimum maximum interest rate charged commercial banks margin type loan look base rate net interest spread commercial banks
2019-01-21,0.003174,standard chartered bank appoints anirvan ghosh dastidar new ceo mr dastidar appointed director represent standard chartered grindlays
2019-01-21,0.0602,standard chartered bank convene agm today bank endorse 1750 cash dividend
2019-01-20,0.1151,despite regulated sector commercial banks behind conducting agm investors expect
2019-01-10,0.08636,last day hold shares standard chartered bank secure 1750 cash dividend
2018-12-28,0.0741,stocks many companies bullish zone despite bearish market trend invested companies
2018-12-27,0.4917,increased limit margin type loans much commercial banks float
2018-12-21,0.2676,new interest rates offered commercial banks backlash governor interest rates fluctuate like share prices past weeks
2018-12-12,0.789,market capitalization good size company actually matter
2018-12-11,-0.05963,interest rate offered commercial banks nba calls end gentlemans agreement
2018-12-10,-0.2678,absolute gain loss investment look secondary market performance commercial banks post revelation capital increment
2018-12-09,0.02101,standard chartered bank convene 32nd agm magh 07 approve 1750 cash dividend
2018-12-02,-0.3748,nepse index hits 35 months low commercial banks approaching 52weeks low price bfis dominated bourse implicate investors
2018-11-29,0.8955,commercial banks performed relative q1 last year important know best form comparison previous self
2018-11-27,-0.0574,highest rated public issue currently registers loss rs 60 per share fpo standard chartered bank worth
2018-11-19,0.099,three commercial banks billionaire club loan deposit crosses mark rs 20 kharba rastriya banijya bank leads profit comparative analysis commercial banks q1
2018-11-13,0.6895,decent performance standard chartered bank first quarter eps reaches rs 3141 net worth per share rs 18474
2018-11-11,0.04135,standard chartered bank proposes 1750 cash dividend fy 207475
2018-09-23,0.2083,popular commercial bank stocks among investors check last months performance exclusively ss pro
2018-08-28,0.007004,commercial banks investment human assets important decision
2018-08-26,-0.7173,worried banks offering cash dividend check expected dividend paying capacity commercial banks possible priorities bonus cash
2018-08-23,0.6626,know banks successful utilizing assets earn high profit
2018-08-22,0.0896,exclusive study marginal loan per q4 reports 51 arba yet dispersed investment
2018-08-19,-0.03775,base rates commercial banks decreased savings fixed deposit rates rates provide share loans full list 28 commercial banks
2018-08-15,0.5547,standard chartered banks outstanding report showcases rise profit 42 eps net worth stand rs 2760 rs 17786 respectively
2018-08-14,0.7944,standard chartered nepal awarded worlds best consumer digital bank award 2018 bags award fourth time row
2018-08-07,0.1061,ipo risky make trading profits fpos
2018-07-22,-0.04416,know deviation net profit unaudited audited reports commercial banks risky blindly trust unaudited reports
2018-07-08,0.0551,ride begin four reasons consider buying commercial banks stocks
2018-07-08,-0.01562,happens share price new shares issued
2018-07-05,-0.06525,unsubscribed fpos blame
2018-06-20,-0.2935,missing opportunities buy gold price iron comparative study oversubscribed scbs fpo undersubscribed nmbs fpo
2018-05-22,-0.000329,comparative analysis commercial banks based profitability ratios generally overlooked find ratios less popular equally important
2018-05-13,-0.0687,warren buffets technique say investment scrips nepalese commercial banks
2018-05-08,-0.1414,see performance commercial banks based indicators often ignored investors
2018-04-26,-0.845,standard chartered bank earns staggering rs 15 arba profit third quarter eps decline rs 2512 due capital increment
2018-04-15,-0.592,falling market concern towards commercial banks eyeing high growth undervalued commercial banks bearish trend
2018-04-03,0.06793,invested rs 1 lakh stocks like ntc nabil chilime 5 years ago heres worth
2018-03-28,-0.1652,history witnessed us getting 292 point mark inferences cant made inadequate information check
2018-03-27,0.0381,nepal stock exchange lists 471 crore unit bonus share four companies including standard chartered everest insurance
2018-03-27,0.0381,nepal stock exchange lists 471 crore unit bonus share four companies including standard chartered everest insurance
2018-03-25,0.03436,standard chartered bank bags top spot camels rating 2 government owned banks follow banks foreign investment
2018-03-22,0.672,know best buy among top blue chip commercial banks rating wise analysis
2018-02-09,0.8477,know commercial banks successful utilizing assets generating profit nepal bank nabil bank tops list
2018-02-05,0.0836,find flexibility commercial banks providing margin loan citizen bank lead
2018-01-29,0.337,standard chartered himalayan bank expects earn rs 2 arba fy 207475 q2 net profit crosses rs 1 arba sunrise ncc bank net profit soars rs 5875 crore rs 3545 crore respectively
2018-01-10,0.1812,standard chartered bank 31st united insurance 23rd ime life 1st sisa hydroelectric 2nd agm today scb endorsing 100 bonus shares ime life endorse ipo flotation decision
2018-01-05,-0.00829,see dividend 100 companies announced fy 207374
2018-01-04,-0.00797,high time smart investors sell standard chartereds shares investors swap scb stocks everest nabil shares
2017-12-28,0.0393,last day clinch 100 bonus shares standard chartered bank 55 15 cash dividend nepal doorsanchar himalayan general insurance respectively
2017-12-22,-0.06244,book closure agm standard chartered bank poush 16 appointed jitender arora chairman
2017-12-20,0.1403,standard chartered bank nepal 31st agm poush 26 endorse 100 bonus shares
2017-12-10,0.663,standard chartered bank announces 100 bonus shares paid reach rs 801 arba
2017-12-10,0.1148,see much eps ebl nib nabil scb paidup capital rs 8 arba worth buy scb greed 100 bonus shares
2017-11-14,-0.224,eps almost commercial banks dwindle profitable invest commercial banks see indepth analysis 28 commercial banks one table
2017-11-08,0.03012,standard chartered net profit rises 3809 rs 4825 crore prabhu net profit decrease 1123 rs 2507 crore
2017-08-31,0.05356,key ratios commercial bank investors must familiar rastriya banijya nepal banks lowest cost funds
2017-08-29,0.1613,standard chartered celebrate liverpool fcs 125th anniversary power numbers
2017-08-27,-0.004196,much interest rate banks offering fixed deposits expect interest rate loan time soon
2017-08-14,0.10754,nepal investment banks eps rises rs 3420 standard chartereds eps rs 3450 huge difference market price though performance
2017-08-14,-0.8257,standard chartered bank unveils revised 5 months maternity leave increased paternity leave entitlement
2017-08-13,0.02988,weekly broker analysis abc securities top list national hydro standard chartered among bought sold respectively top broker
2017-08-09,0.001217,see status number bfis nepal till end ashad 2074
2017-08-08,-0.01955,brokers turnover month july online securities top list rs 222 arba turnover
2017-07-31,-0.001349,know much commercial banks hike capital meet nrbs capital requirement
2017-07-11,-0.909,banks creating inconvenience publishing base rates
2017-06-02,-0.02716,standard chartered bank highest turnover week see companies traded sector wise analysis
2017-06-01,0.04092,janata bank providing 13 interest fixed deposit stanchart able provide loan 999
2017-05-25,0.001095,see nepal bangladesh bank standard chartered riskfree income governmentowned banks risky income exclusive study
2017-05-17,0.6226,see progress 28 commercial banks third quarter per major indicators
2017-05-16,-0.01084,standard chartered lists 2558 lakh units fpo shares within one week allotment shares traded within week
2017-05-12,0.04315,nmb capital refunding money nonallottees standard chartered fpo today direct transfer 22 bfis
2017-05-09,0.07764,standard chartered enters billion club earning rs 106 arba till q3 eps rs 37 capital increment
2017-05-09,-0.4011,3741 applicants disqualified stanchart fpo providing incorrect demat number rs 5181 crore investment rejected
2017-05-09,0.02391,standard chartered bank limited fpo allotment module
2017-05-08,0.02048,standard chartered fpo allotment concludes 140 units decided lottery others allotted 638 pro rata basis
2017-05-08,0.1552,standard chartered bank fpo allotment today 330 pm big small investors likely get 64 24 respectively
2017-05-07,0.02466,standard chartered fpo allotment tomorrow
2017-05-01,0.02199,nmb capital conclude standard chartered fpo allotment week
2017-04-21,0.001522,sebon instructs issue manager stanchart fpo conclude allotment within 14 days
2017-04-13,0.1936,banks raise interest rates savings nrb directive century nic asia offering 8
2017-03-28,0.01936,nepse lists 139 crore units bonus 990 lakh units right shares standard chartered bank 6 companies
2017-03-20,-0.5317,stanchart fpo final update collects rs 3820 arba oversubscribed 1157 times 223 lakh applicants till last day
2017-03-19,-0.0445,standard chartered fpo collects rs 3536 arba 214 lakh applicants issue oversubscribed 1071 times till last day
2017-03-17,-0.4285,standard chartered fpo update collects rs 133 arba oversubscribed 4 times 86700 applicants till third day
2017-03-17,-0.003567,last day apply 2558 lakh units fpo shares standard chartered bank offer ends today
2017-03-16,0.838,bank better position provide dividend capital reaches rs 8 arba scb nib nabil ebl
